'temperature points' 8 0. 25. 60. 100. 150. 200. 250. 300.
'Zn++' 6.0 2.0 65.3900
'Zr(OH)2++' 4.5 2.0 125.2387
'O2(g)' 3.0 0.0 31.9988
'O2(aq)' 3.0 0.0 31.99880
'Tracer_Age' 0.0 0. 0.
'Water_Age' 3.0 0. 0.
'Acetate-' 4.5 -1.0 59.0446
'Ethanol(aq)' 3.0 0.0 46.0690
'Citrate---' 4.5 -3.0 189.1013
'EDTA----' 4.0 -4.0 288.2134
'NTA---' 3.0 -3.0 188.117 'pcl-valocchi'
'Colloid-goe' 3.0 0.0 1.34588e9 'pcl-goethite colloid'
'Colloid-beid' 3.0 0.0 8.9246e8 'pcl-beidelite colloid'
'PCE' 0. 0. 0.
'Tracer' 0.0 0. 0.
'Tracer1' 0.0 0. 0.
'Tracer2' 0.0 0. 0.
'Tracer3' 0.0 0. 0.
'Tracer4' 0.0 0. 0.
'Tracer5' 0.0 0. 0.
'Tracer6' 0.0 0. 0.
'Tracer7' 0.0 0. 0.
'Tracer8' 0.0 0. 0.
'Tracer9' 0.0 0. 0.
'Tracer10' 0.0 0. 0.
'A(aq)' 0. 0. 0.
'B(aq)' 0. 0. 0.
'C(aq)' 0. 0. 0.
'D(aq)' 0. 0. 0.
'E(aq)' 0. 0. 0.
'A+' 0. 1. 0.
'B+' 0. 1. 0.
'C-' 0. -1. 0.
'null' 0 0 0
'OH-' 2 -1.0000 'H+' 1.0000 'H2O' 14.9398 13.9951 13.0272 12.2551 11.6308 11.2836 11.1675 11.3002 3.5 -1.0 17.0073
'null' 1 0. '0' 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
'null' 1 0. '0' 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
'null' 1 0. '0' 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
'null' 1 0. '0' 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
'null' 1 0. '0' 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
